city,year,month,tavg,tmin,tmax,prcp,wspd,pres,n_days,n_rows,data_coverage,EHF_max,EHF_mean,ehf_thr,risk_now,risk_next,owid_surface_temp,wb_pop_density,wb_urban_pct,date,tavg_lag1,tavg_lag2,tmax_lag1,tmax_lag2,prcp_lag1,prcp_lag2,wspd_lag1,wspd_lag2,EHF_max_lag1,EHF_max_lag2,owid_surface_temp_lag1,owid_surface_temp_lag2,month_sin,month_cos,y
Lahore,2005,7,29.982758620689655,25.852941176470587,34.227586206896554,8.1,9.307692307692308,,29,31,0.9354838709677419,-3.7999999999999794,-5.84454666666666,-2.66666666666665,0,0,28.711275,227.601198630137,33.982,2005-07-01,34.276666666666664,30.066666666666666,40.79655172413793,37.03703703703704,82.1,132.4,11.175,10.639999999999999,17.64000000000012,-9.999999999999975,29.437952,24.959139,-0.4999999999999998,-0.8660254037844388,0
Lahore,2005,8,30.470967741935485,26.6125,35.39655172413793,46.0,9.038709677419355,,31,31,1.0,-4.666666666666654,-5.308333333333318,-2.66666666666665,0,0,28.001135,227.601198630137,33.982,2005-08-01,29.982758620689655,34.276666666666664,34.227586206896554,40.79655172413793,8.1,82.1,9.307692307692308,11.175,-3.7999999999999794,17.64000000000012,28.711275,29.437952,-0.8660254037844384,-0.5000000000000004,0
Lahore,2005,9,28.240000000000002,24.584615384615386,33.9,66.8,8.435714285714285,,30,30,1.0,-3.9333333333333123,-6.863333333333317,-2.66666666666665,0,0,26.265072,227.601198630137,33.982,2005-09-01,30.470967741935485,29.982758620689655,35.39655172413793,34.227586206896554,46.0,8.1,9.038709677419355,9.307692307692308,-4.666666666666654,-3.7999999999999794,28.001135,28.711275,-1.0,-1.8369701987210297e-16,0
Lahore,2005,10,24.22258064516129,18.703703703703702,32.329032258064515,0.8,5.782758620689655,,31,31,1.0,-6.999999999999986,-10.72150537634407,-2.66666666666665,0,0,21.333782,227.601198630137,33.982,2005-10-01,28.240000000000002,30.470967741935485,33.9,35.39655172413793,66.8,46.0,8.435714285714285,9.038709677419355,-3.9333333333333123,-4.666666666666654,26.265072,28.001135,-0.8660254037844386,0.5000000000000001,0
Lahore,2005,11,17.44137931034483,12.244444444444445,26.79642857142857,0.0,5.428571428571429,,29,30,0.9666666666666667,-14.899999999999984,-15.581818181818166,-2.66666666666665,0,0,14.880646,227.601198630137,33.982,2005-11-01,24.22258064516129,28.240000000000002,32.329032258064515,33.9,0.8,66.8,5.782758620689655,8.435714285714285,-6.999999999999986,-3.9333333333333123,21.333782,26.265072,-0.5000000000000004,0.8660254037844384,0
Lahore,2005,12,10.870000000000001,4.128571428571429,21.303846153846152,0.0,3.2518518518518515,,30,31,0.967741935483871,,,-2.66666666666665,0,0,9.41722,227.601198630137,33.982,2005-12-01,17.44137931034483,24.22258064516129,26.79642857142857,32.329032258064515,0.0,0.8,5.428571428571429,5.782758620689655,-14.899999999999984,-6.999999999999986,14.880646,21.333782,-2.4492935982947064e-16,1.0,0
Lahore,2006,3,20.129032258064516,14.708695652173914,27.020689655172415,40.7,9.927586206896551,,31,31,1.0,-14.73333333333332,-18.6710645161291,-2.66666666666665,0,0,16.76989,233.087756849315,34.184,2006-03-01,18.442857142857143,11.806451612903226,27.042857142857144,20.460714285714285,4.8,3.3,6.814814814814815,6.892857142857143,-16.46666666666665,-23.13333333333332,15.6687565,8.586076,1.0,6.123233995736766e-17,0
Lahore,2006,4,27.779999999999998,20.139285714285712,35.80344827586207,0.0,9.596666666666666,,30,30,1.0,-10.391999999999934,-26.752585185185247,-2.66666666666665,0,1,22.886179,233.087756849315,34.184,2006-04-01,20.129032258064516,18.442857142857143,27.020689655172415,27.042857142857144,40.7,4.8,9.927586206896551,6.814814814814815,-14.73333333333332,-16.46666666666665,16.76989,15.6687565,0.8660254037844387,-0.49999999999999983,1
Lahore,2006,5,32.90967741935484,25.984615384615385,39.91612903225807,22.6,10.441935483870967,,31,31,1.0,0.6230000000000648,-4.421308243727582,-2.66666666666665,1,1,29.028717,233.087756849315,34.184,2006-05-01,27.779999999999998,20.129032258064516,35.80344827586207,27.020689655172415,0.0,40.7,9.596666666666666,9.927586206896551,-10.391999999999934,-14.73333333333332,22.886179,16.76989,0.49999999999999994,-0.8660254037844387,1
Lahore,2006,6,31.686666666666667,25.63448275862069,37.59655172413793,75.0,10.520000000000001,,30,30,1.0,0.7510000000000538,-3.412577777777764,-2.66666666666665,1,1,28.843658,233.087756849315,34.184,2006-06-01,32.90967741935484,27.779999999999998,39.91612903225807,35.80344827586207,22.6,0.0,10.441935483870967,9.596666666666666,0.6230000000000648,-10.391999999999934,29.028717,22.886179,1.2246467991473532e-16,-1.0,1
Lahore,2006,7,30.5258064516129,26.227586206896554,34.809999999999995,99.0,10.903225806451612,,31,31,1.0,-0.9622222222221928,-4.859139784946224,-2.66666666666665,1,0,29.675714,233.087756849315,34.184,2006-07-01,31.686666666666667,32.90967741935484,37.59655172413793,39.91612903225807,75.0,22.6,10.520000000000001,10.441935483870967,0.7510000000000538,0.6230000000000648,28.843658,29.028717,-0.4999999999999998,-0.8660254037844388,0
Lahore,2006,8,29.364516129032257,25.646666666666665,33.809999999999995,95.3,8.312903225806451,,31,31,1.0,-4.233333333333324,-6.380616487455205,-2.66666666666665,0,0,27.24984,233.087756849315,34.184,2006-08-01,30.5258064516129,31.686666666666667,34.809999999999995,37.59655172413793,99.0,75.0,10.903225806451612,10.520000000000001,-0.9622222222221928,0.7510000000000538,29.675714,28.843658,-0.8660254037844384,-0.5000000000000004,0
