time,city,ndvi
2023-01-01,Karachi,0.1143
2023-02-01,Karachi,0.1019
2023-03-01,Karachi,0.11960000000000001
2023-04-01,Karachi,0.14800000000000002
2023-05-01,Karachi,0.1436
2023-06-01,Karachi,0.0917
2023-07-01,Karachi,0.0917
2023-08-01,Karachi,0.11800000000000001
2023-09-01,Karachi,0.124
2023-10-01,Karachi,0.138
2023-11-01,Karachi,0.10360000000000001
2023-12-01,Karachi,0.1143
2024-01-01,Karachi,0.1153
2024-02-01,Karachi,0.1258
2024-03-01,Karachi,0.11850000000000001
2024-04-01,Karachi,0.1285
2024-05-01,Karachi,0.12040000000000001
2024-06-01,Karachi,0.12190000000000001
2024-07-01,Karachi,0.1024
2024-08-01,Karachi,0.16740000000000002
2024-09-01,Karachi,0.12240000000000001
2024-10-01,Karachi,0.1338
2024-11-01,Karachi,0.1067
2024-12-01,Karachi,0.10640000000000001
2025-01-01,Karachi,0.1073
2025-02-01,Karachi,0.1101
2025-03-01,Karachi,0.10700000000000001
2025-04-01,Karachi,0.1149
2025-05-01,Karachi,0.1
2025-06-01,Karachi,0.1057
2025-07-01,Karachi,0.0726
2025-08-01,Karachi,0.1419
2025-09-01,Karachi,0.1322
2025-10-01,Karachi,0.13
2025-11-01,Karachi,0.124
2025-12-01,Karachi,0.1272
2000-02-01,Lahore,0.19740000000000002
2000-03-01,Lahore,0.2097
2000-04-01,Lahore,0.2151
2000-05-01,Lahore,0.20900000000000002
2000-06-01,Lahore,0.2508
2000-07-01,Lahore,0.38270000000000004
2000-08-01,Lahore,0.3504
2000-09-01,Lahore,0.3028
2000-10-01,Lahore,0.2614
2000-11-01,Lahore,0.22610000000000002
2000-12-01,Lahore,0.2074
2001-01-01,Lahore,0.1766
2001-02-01,Lahore,0.189
2001-03-01,Lahore,0.191
2001-04-01,Lahore,0.21830000000000002
2001-05-01,Lahore,0.2071
2001-06-01,Lahore,0.2121
2001-07-01,Lahore,0.33680000000000004
2001-08-01,Lahore,0.30710000000000004
2001-09-01,Lahore,0.3291
2001-10-01,Lahore,0.24530000000000002
2001-11-01,Lahore,0.2335
2001-12-01,Lahore,0.1948
2002-01-01,Lahore,0.1643
2002-02-01,Lahore,0.1967
2002-03-01,Lahore,0.2112
2002-04-01,Lahore,0.2013
2002-05-01,Lahore,0.1908
2002-06-01,Lahore,0.2029
2002-07-01,Lahore,0.20950000000000002
2002-08-01,Lahore,0.32380000000000003
2002-09-01,Lahore,0.2427
2002-10-01,Lahore,0.23390000000000002
2002-11-01,Lahore,0.2335
2002-12-01,Lahore,0.1757
2003-01-01,Lahore,0.1806
2003-02-01,Lahore,0.1852
2003-03-01,Lahore,0.2033
